ID,Store Name,Street Address,City,State/Province,Country,Longitude,Latitude
133,Jurica,"Av 5 de Febrero 9200 Col Fraccionamiento, Zona Industrial Benito Juarez",Mexico City,DIF,MX,-100.43,20.65
134,Medica Sur Tlalpan,"150, Col. Toriello",Mexico City,DIF,MX,-99.16,19.3
135,5 de Mayo,"Av. 5 de mayo #19 Col. Centro, Delegacion Cuauhtemoc",Mexico City,DIF,MX,-99.14,19.43
136,Eugenia,"Eugenia #1,062",Mexico City,DIF,MX,-99.17,19.39
137,Mexfund Pedregal,"Periferico sur # 4132, Col. Jardines Del Pedregal",Mexico City,DIF,MX,-99.21,19.31
138,WTC,"Insurgentes Sur #729, local b Col. Napoles, Del. Benito Juarez",Mexico City,DIF,MX,-99.17,19.39
139,Bosques Horizontes,"Paseo de los Laureles #458 Col, Bosques de las Lomas",Mexico City,DIF,MX,-99.25,19.39
140,Plaza Delta,"Av. Cuauhtemoc esq. Obrero Mundial, Col. Narvarte",Mexico City,DIF,MX,-99.15,19.4
141,Los Atrios Antara Polanco,Ejercito Nacional #843,Mexico City,DIF,MX,-99.2,19.44
142,Plaza Central,"Avenida Canal Río Churubusco No. 1635, Colonia Central de Abastos",Mexico City,DIF,MX,-99.1,19.38
143,Torre Mexicana,"Xola 535 esquina Mier y Pesado, Col. Del Valle",Mexico City,DIF,MX,-99.17,19.4
144,Moliere 222,"Moliere # 222 Col. Los Morales, Del. Miguel Hidalgo",Mexico City,DIF,MX,-99.2,19.43
145,Nuevo Leon,Av. Nuevo Leon # 188,Mexico City,DIF,MX,-99.17,19.41
146,Corporativo Polanco,"Jaime Balmes #8, Local 4, Colonia Los Morales Polanco,",Mexico City,DIF,MX,-99.21,19.44
147,Centro Comercial Santa Fe 2,"Av. Vasco de Quiroga 3800, Local 155",Mexico City,DIF,MX,-99.28,19.36
148,Insurgentes La Joya,"Insurgentes Sur No. 4184 p.b. loc 1, Col. La Joya",Mexico City,DIF,MX,-99.17,19.28
149,Horacio,326 Horacio Plaza Cantera,Mexico City,DIF,MX,-99.19,19.43
150,MEX - Mexico City Airport T2 PA INT,"Capitan Carlos Leon s/n Colonia Penon, de los Banos",Mexico City,DIF,MX,-99.08,19.42
151,Angeles Acoxpa,"Av. Acoxpa No.430 Col. Ex Hacienda Coapa, Delegacion Tlalpan",Mexico City,DIF,MX,-99.14,19.3
152,Centro Medico ABC Santa Fe,"Av Carlos Graef Fernandez #154 Local P.B, Col. Cuajimalpa",Mexico City,DIF,MX,-99.28,19.36
153,Plaza Luis Cabrera,"Plaza Luis Cabrera # 5 Local 1, Col Roma",Mexico City,DIF,MX,-99.16,19.42
154,ITESM Mexico City Campus,Carr. Lago de Guadalupe Km. 3.5 Col. Mar,Mexico City,DIF,MX,-99.23,19.59
155,Portal Churbusco,"Av. Rio Churubusco No.583 Local B10, Col. Sector Popular",Mexico City,DIF,MX,-99.12,19.37
156,Plaza Inn,"Av. Insurgentes Sur #1971, Col. Guadalupe Inn",Mexico City,DIF,MX,-99.19,19.35
157,Pedregal,"Crater 709,  Col. Pedregal de San Angel",Mexico City,DIF,MX,-99.21,19.32
158,Uruguay,"Republica de Urugual No. 56, Col. Centro, Delegacion Cuauhtemoc",Mexico City,DIF,MX,-99.14,19.43
159,MEX - Aeropuerto Int Dufry,"Av. Capitan Carlos Leon s/n,",Mexico City,DIF,MX,-99.08,19.42
160,Patio Revolucion,"Av Revolucion No. 1817, Colonia San Angel, Del. Alvaro Obregon",Mexico City,DIF,MX,-99.19,19.34
161,Galerias Atizapan,"Circuito Jimenez Cantu, Atizapan de, Zaragoza",Mexico City,DIF,MX,-99.27,19.55
162,Miguel Angel Quevedo 2,Av. Miguel A. De Quevedo  # 624,Mexico City,DIF,MX,-99.17,19.34
163,Campos Eliseos,"Galileo no. 8 local 3 esq. Campos Eliseo, Miguel Hidalgo",Mexico City,DIF,MX,-99.19,19.43
164,Santa Fe,"Guillermo Gonzalez Camarena No. 2000, esq. Vasco de Quirogam Centro de Cd.",Mexico City,DIF,MX,-99.28,19.36
165,Salon Ejecutivo Mexicana T1,"Aeropuerto Intenacional de la Cd. Mex, Aeropuerto Intenacional de la Cd. Mex",Mexico City,DIF,MX,-99.05,19.45
166,Torre Diamante,"Av. Vasco de Quiroga No. 3900, Col. Santa Fe Cuajimalpa, Del Cuajimalpa",Mexico City,DIF,MX,-99.28,19.36
167,Jesus del Monte,Fraccion 7 y 8 del Lote 20,Mexico City,DIF,MX,-99.3,19.38
168,Palmas,Av. de Las Palmas 765,Mexico City,DIF,MX,-99.22,19.43
169,Patio Santa Fe,"Prolongacion Paseo de la Reforma 400, Pena Blanca Santa Fe, Alvaro Obregon",Mexico City,DIF,MX,-99.26,19.38
170,Zentralia Churubusco,"Avenida Rio Churubusco 1072, Colonia Nueva Rosita, Local No. 1, 2 y 3",Mexico City,DIF,MX,-99.1,19.38
171,MEX - Aeropuerto Nacional Sala B,"Av. Capitan Carlos Leon s/n, Sala B, Loc",Mexico City,DIF,MX,-99.08,19.42
172,Reforma Rio Marne,"Av. Passeo de La Reforma #195, Local 1, esq. Rio Marne",Mexico City,DIF,MX,-99.16,19.43
173,SPA,"Av. Santa Fe No. 495 PB Local 2, Col. Cruz Manca",Mexico City,DIF,MX,-99.26,19.37
174,Plaza Santa Teresa,"Adolfo Lopez Mateos 4020, Col. Jardines del Pedregal",Mexico City,DIF,MX,-99.21,19.31
175,Madero,"Madero #42 Col. Centro, Centro Historico district",Mexico City,DIF,MX,-99.14,19.43
176,222 Reforma,222 Avenue Reforma,Mexico City,DIF,MX,-99.16,19.43
177,SPA,"Av. Vasco de Quiroga #3800, Local 1,000, Santa Fe, Deleg. Cuajimalpa",Mexico City,DIF,MX,-99.28,19.36
178,Obelisco,247 Campo Eliseos,Mexico City,DIF,MX,-99.2,19.43
179,Carso Polanco I,"Lago Zurich s/n esq. Cervantes Saaverda, Col Ampliacion Granada Delegacion Miguel",Mexico City,DIF,MX,-99.2,19.44
180,Altavista-Mexico,Av. Altavista # 147 Local 1,Mexico City,DIF,MX,-99.2,19.35
181,Valle Dorado,"3130 Col. Valle Dorado, Blvd. Manuel Avita Camacho, Tlanepantla",Mexico City,DIF,MX,-99.21,19.55
182,City Center Esmeralda,"Via. Dr. Jimenez Cantu, Bosque Esmeralda, Atizapan de Zaragosa, Edo. Mex",Mexico City,DIF,MX,-99.14,19.28
183,Division del Norte,Division del Norte Ave 2590,Mexico City,DIF,MX,-99.15,19.35
184,Pilares,"Calle Pilares & Calle Pestalozzi, Coloni",Mexico City,DIF,MX,-99.16,19.38
185,MEX - Aeropuerto Cenca,"Av. Capitan Carlos Leon s/n, Sala E, Loc",Mexico City,DIF,MX,-99.08,19.42
186,Plaza America,"Benito Juarez No. 17 Local E, Colonia ExHacienda de Coapa",Mexico City,DIF,MX,-99.14,19.31
187,Ejercito Nacional,"Av. Ejercito Nacional # 579 P.B. 01, Col. Granada",Mexico City,DIF,MX,-99.19,19.44
188,San Jeronimo,"Av. Periferico Sur #, Centro Comercial San Jeronimo",Mexico City,DIF,MX,-99.21,19.33
189,Las Aguilas,"Calz. De los Leones #145, Locales 19 y 20 Col. Las Aguilas",Mexico City,DIF,MX,-99.2,19.36
190,Amsterdam,180 Sonora Avenue,Mexico City,DIF,MX,-99.17,19.41
191,Tecnoparque,Avenide Eje 5 Norte 990,Mexico City,DIF,MX,-99.18,19.5
192,Irrigacion,397 Avenue Miguel de Cervantes Saavedra,Mexico City,DIF,MX,-98.96,19.22
193,Torre Siglum,"Av. Insurgentes Sur No 1898 Local A, Col. Florida",Mexico City,DIF,MX,-99.19,19.35
194,MEX - Aeropuerto Sala Bravo,"Av. Capitan Carlos Leon s/n, Sala B",Mexico City,DIF,MX,-99.08,19.44
195,Parque Tezontle 1,1512 Avenue Canal de Tezontle,Mexico City,DIF,MX,-99.08,19.38
196,Parque Lindavista 2,"Colectores 13 No. 280, Col. Magdalena de las Salinas",Mexico City,DIF,MX,-99.13,19.49
197,Hospital Angeles Metropolitano,"Tlacotalpan No. 59, Col. Roma Sur",Mexico City,DIF,MX,-99.17,19.41
198,Torre Inverlat,Manuel Avila Camacho 1,Mexico City,DIF,MX,-99.2,19.43
199,Parque Lindavista 1,"Colectores 13 No. 280, Col. Magdalena de las Salinas",Mexico City,DIF,MX,-99.13,19.49
200,Tepepan,"Periferico Sur No. 4991 local 1, Col. Tepepan",Mexico City,DIF,MX,-99.14,19.28
201,Izcalli Mega,"Manzana C, # 24 B Av. 1 de Mayo, Col. Ce",Mexico City,DIF,MX,-99.21,19.65
202,222 Reforma 2,"222 Avenue Reforma, Col. Juarez. C.P.",Mexico City,DIF,MX,-99.16,19.43
203,City Walk,"Av. Santa Fe  482;  Col. Cruz Manca;, Del. Cuajimpala",Mexico City,DIF,MX,-99.27,19.36
204,Punta Norte,Autopista Chamapa-Lecheria S/N,Mexico City,DIF,MX,-99.2,19.6
205,Echegaray,Hacienda de Echegaray,Mexico City,DIF,MX,-99.23,19.49
206,El Rosario,"Av. Del Rosario No. 1025, Col El Rosario",Mexico City,DIF,MX,-99.2,19.5
207,Miguel Angel Quevedo 3,Av. Miguel Angel de Quevedo #287,Mexico City,DIF,MX,-99.18,19.35
208,Plaza Lilas,"Bosque de Lilas #92, Local,Centro Comerc",Mexico City,DIF,MX,-99.25,19.39
209,Insurgentes WTC -,"Montecito 38, Colonia Napoles District",Mexico City,DIF,MX,-99.17,19.39
210,Chapultepec Reforma,"Seccion 1RA,  Bosque de Chapultepec, Acceso Gratuitas",Mexico City,DIF,MX,-99.18,19.42
211,Super Plaza - Miramontes,"Av. Canal de Miramontes No. 2091, Col. Los Girasoles",Mexico City,DIF,MX,-99.12,19.31
212,Medica Sur II,"Puente de Piedra No. 150, Col. Torielo Guerra",Mexico City,DIF,MX,-99.16,19.3
213,Insurgentes Relox,"Av. Insurgentes Sur #2374., Col. Chimalistac",Mexico City,DIF,MX,-99.19,19.34
214,Americas Ecatepec,"Av. Central esq. Av. 1 de Mayo, Col. Jardines de Morelos, Ecatepec",Mexico City,DIF,MX,-103.38,20.7
215,C.C. Perisur,"Anillo Periferico No. 4690 Local 192, Ampliacion Pedregal de San Angel",Mexico City,DIF,MX,-99.19,19.3
216,Xola,Xola No.1159 Col. Narvarte,Mexico City,DIF,MX,-99.16,19.4
217,One o One,"Juan Salvador Agraz 61, Col. Santa Fe, Cuajimalpa",Mexico City,DIF,MX,-99.28,19.36
218,C.M Mixcoac,"Revolucion 780, Col. Mixcoac",Mexico City,DIF,MX,-99.19,19.38
219,Gabriel Mancera,"Av. Gabriel Mancera #1,357, Local 1",Mexico City,DIF,MX,-99.17,19.37
220,Metropoli Patriotismo,Av. Patriotismo #229,Mexico City,DIF,MX,-99.18,19.4
